symbol,sector,companyname,address,previousclose,dividend_yield,fifty_two_week_high,fifty_two_week_low,two_hundered_day_average,market_cap,environment_score,social_score,governance_score,profit_margins,book_value,trailing_eps,shares_outstanding,total_cash,debt_to_equity,return_on_equity,earnings_growth,ebitda,current_liabilities,revenue
UFCS,Financial Services,"United Fire Group, Inc.","118 Second Avenue SE, Cedar Rapids, IA",26.05,0.024600001,37.26,24.72,29.7375,669492736.0,,,,0.01533,29.357,0.59,25216300,96925000.0,10.393,0.01857,-0.662,22935000.0,1091752000.0,980286000.0
TERN,Healthcare,"Terns Pharmaceuticals, Inc.","1065 East Hillsdale Boulevard, Foster City, CA",11.75,,12.42,1.45,6.367,670968064.0,,,,0.0,5.155,-2.43,56669600,283113984.0,0.435,-0.27602,,-61545000.0,8468000.0,0.0
UBA,Real Estate,Urstadt Biddle Properties Inc.,"321 Railroad Avenue, Greenwich, CT",17.25,0.0571,19.36,15.07,17.65725,673719872.0,,,,0.28323,8.97,0.64,28969900,25594000.0,54.073,0.07043,0.298,85926000.0,13011000.0,143779000.0
GNLX,Healthcare,Genelux Corporation,"2625 Townsgate Road, Westlake Village, CA",30.77,,39.272,5.35,16.213413,653826240.0,,,,0.0,-3.722,-0.18,23569800,,,,,,31626000.0,0.0
SP,Industrials,SP Plus Corporation,"200 East Randolph Street, Chicago, IL",33.45,,39.6,27.69,34.05675,668024064.0,,,,0.056900002,11.433,2.16,19481600,12400000.0,249.402,0.21483,-0.42,113900000.0,343600000.0,794400000.0
MPLN,Healthcare,MultiPlan Corporation,"115 Fifth Avenue, New York, NY",1.06,,6.19,0.868,2.61445,677523328.0,,,,-0.53061,2.801,-0.88,639172992,334046016.0,267.09,-0.27708998,,744936000.0,175844000.0,1079716000.0
HCAT,Healthcare,"Health Catalyst, Inc.","10897 South River Front Parkway, South Jordan, UT",11.38,,27.98,6.4,12.0289,654146688.0,,,,-0.49741,7.691,-2.63,55805900,363489984.0,58.345,-0.29015,,-81391000.0,82510000.0,276236000.0
BLBD,Consumer Cyclical,Blue Bird Corporation,"3920 Arkwright Road, Macon, GA",20.57,,23.13,7.135,12.593425,654415808.0,,,,-0.058390003,-2.002,0.407,32032100,5664000.0,,-3.6198401,,-32624000.0,164774000.0,800637000.0
MOV,Consumer Cyclical,"Movado Group, Inc.","650 From Road, Paramus, NJ",28.55,0.049000002,41.25,27.11,32.8118,658833024.0,,,,0.12572,22.93,4.265,22900000,252003008.0,17.352,0.19648,-0.248,130079000.0,,0.0
UHT,Real Estate,Universal Health Realty Income Trust,"Universal Corporate Center, King Of Prussia, PA",47.49,0.0602,59.35,40.92,50.38075,664076800.0,,,,0.22983,16.598,1.53,13803300,7614000.0,154.64,0.09087,-0.939,58271000.0,12155000.0,91816000.0
TWI,Industrials,"Titan International, Inc.","1525 Kautz Road, West Chicago, IL",10.48,,19.81,10.11,14.39665,658905856.0,,,,0.08127,6.066,2.77,62872700,160964992.0,119.509,0.5872,0.52,250407008.0,446161000.0,2169380000.0
SMR,Industrials,NuScale Power Corporation,"6650 SW Redwood Lane, Portland, OR",8.83,,15.85,8.09,11.3698,659457664.0,,,,0.0,1.654,-0.5,69911000,267684992.0,1.571,-0.82467,,-227296992.0,38557000.0,11804000.0
CHUY,Consumer Cyclical,"Chuy's Holdings, Inc.","1623 Toomey Road, Austin, TX",35.34,,39.96,18.64,27.96135,656417088.0,,,,0.049390003,13.588,1.1,17998200,,,0.08221,-0.542,45833000.0,44358000.0,422215000.0
EXFY,Technology,"Expensify, Inc.","401 SW 5th Avenue, Portland, OR",7.62,,25.39,7.01,13.228625,672118208.0,,,,-0.15935001,1.18,-0.33,68278096,103787000.0,69.708,-0.3107,,-12444000.0,60362000.0,169495000.0
NVAX,Healthcare,"Novavax, Inc.","21 Firstfield Road, Gaithersburg, MD",6.59,,77.65,5.61,24.8655,633428288.0,,,,-0.33198002,-7.37,-8.33,86173200,1336882944.0,,,,-615681984.0,2459944000.0,1981872000.0
ABML,Basic Materials,American Battery Technology Company,"100 Washington Street, Reno, NV",0.97525,,1.745,0.395,0.68484,612497472.0,,,,0.0,0.071,-0.02,651593024,11450013.0,0.505,-0.35776,,-18340614.0,3052141.0,0.0
